,Driver,QualiPos,RacePos,DNF
860,vettel,2,7,False
861,bottas,3,8,False
862,perez,12,19,True
863,ricciardo,5,1,False
864,bottas,6,3,False
865,raikkonen,8,4,False
866,vettel,3,5,False
867,alonso,4,7,False
868,perez,13,8,False
869,hamilton,2,19,True
870,hamilton,1,1,False
871,bottas,3,4,False
872,ricciardo,9,5,False
873,vettel,8,6,False
874,perez,10,7,False
875,raikkonen,11,9,False
876,alonso,7,21,True
877,hamilton,1,1,False
878,vettel,4,2,False
879,ricciardo,3,3,False
880,alonso,5,4,False
881,perez,15,7,False
882,raikkonen,7,8,False
883,bottas,8,11,False
884,hamilton,2,1,False
885,vettel,9,3,False
886,ricciardo,6,4,False
887,bottas,3,6,False
888,perez,11,10,False
889,raikkonen,10,12,False
890,alonso,5,22,True
891,hamilton,1,1,False
892,bottas,3,3,False
893,alonso,7,6,False
894,ricciardo,6,7,False
895,vettel,10,8,False
896,raikkonen,8,9,False
897,perez,12,10,False
898,hamilton,2,1,False
899,ricciardo,5,3,False
900,bottas,3,5,False
901,alonso,6,6,False
902,vettel,18,7,False
903,raikkonen,8,13,False
904,perez,11,17,True
905,hamilton,2,2,False
906,vettel,6,5,False
907,alonso,8,6,False
908,raikkonen,10,7,False
909,bottas,4,10,False
910,perez,18,15,False
911,ricciardo,9,18,True
912,hamilton,2,1,False
913,bottas,3,3,False
914,ricciardo,20,4,False
915,perez,11,7,False
916,vettel,19,8,False
917,alonso,8,9,False
918,raikkonen,7,10,False
919,hamilton,1,1,False
920,vettel,4,3,False
921,ricciardo,6,6,False
922,sainz,7,9,False
923,perez,14,10,False
924,raikkonen,5,12,True
925,max_verstappen,11,13,True
926,bottas,0,18,True
927,vettel,2,1,False
928,hamilton,1,2,False
929,raikkonen,11,4,False
930,bottas,8,5,False
931,max_verstappen,6,7,False
932,sainz,15,8,False
933,ricciardo,4,10,False
934,perez,14,13,False
935,alonso,18,18,True
936,hamilton,1,1,False
937,vettel,3,3,False
938,raikkonen,6,4,False
939,bottas,5,6,False
940,ricciardo,7,9,False
941,perez,15,11,False
942,alonso,18,12,False
943,sainz,14,13,False
944,max_verstappen,13,17,True
945,hamilton,1,1,False
946,raikkonen,4,2,False
947,bottas,5,4,False
948,vettel,2,5,False
949,ricciardo,7,6,False
950,perez,11,8,False
951,alonso,14,11,False
952,max_verstappen,15,18,True
953,sainz,9,19,True
954,hamilton,2,2,False
955,vettel,3,3,False
956,bottas,4,4,False
957,raikkonen,7,5,False
958,ricciardo,10,7,False
959,sainz,5,9,False
960,max_verstappen,6,11,False
961,perez,18,13,False
962,alonso,13,20,True
963,vettel,3,2,False
964,hamilton,1,3,False
965,ricciardo,4,5,False
966,raikkonen,6,6,False
967,perez,7,7,False
968,sainz,0,10,False
969,bottas,16,14,False
970,max_verstappen,9,18,True
971,alonso,13,19,True
972,hamilton,1,1,False
973,bottas,4,3,False
974,raikkonen,3,4,False
975,vettel,18,5,False
976,perez,10,11,False
977,sainz,11,12,False
978,ricciardo,9,13,False
979,max_verstappen,19,15,False
